시설명,기관유형,주소,전화번호,홈페이지,장기요양기관지정일,교통편,주차시설,정원,현원(남),현원(여),대기(남),대기(여),재가노인복지시설방문요양-요양보호사-1급,재가노인복지시설방문요양-요양보호사-2급,재가노인복지시설방문요양-요양보호사-유예,재가장기요양기관방문요양-요양보호사-1급,재가장기요양기관방문요양-요양보호사-2급,재가장기요양기관방문요양-요양보호사-유예,간호사,간호조무사,계약,관리인,물리치료사,보조원,사무국장,사무실,사무원,사회복지사,세면/세탁실,시설장,영양사,위생원,유예,작업치료사,재가노인복지시설주야간보호,조리원,침실,화장실
우리요양복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕,인천광역시 동구 화수로 44인천광역시 동구 요양기관 ,032-217-0107,http://blog.naver.com/woori_2170107,2016년 10월 27일,버스이용 : 간선 15번_동국제강후문(가좌동 차고지 방면)                 지선 506번_화도청소 년문화의집(새마을금고 방면),미륭아파트 주차장 2대,-,-,-,-,-,0명,0명,0명,37명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,2명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
에덴재가노인복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕,인천광역시 동구 금창로 40인천광역시 동구 요양기관 ,032-773-4457,http://blog.naver.com/eden,2018년 02월 14일,"지하철 : 도원역 3번출구 인천세무서 방향으로 350m 도보 6분 버스 : 도원역 1,2번 출구 버스 정류장 간선 15, 22, 28번 지선 506번",주차시설 가능(시설인근의 구청주차장 이용가능),-,-,-,-,-,0명,0명,0명,36명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,2명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
아가페재가노인복지센터,재가노인복지시설 방문요양 / 재가노인복지시설 방문목욕,인천광역시 동구 송림로 24인천광역시 동구 요양기관 ,032-772-0733,http://cafe.daum.net/ehddlscjsdkrkvp,2023년 09월 01일,"인천 동구 배다리 삼거리에 위치하며 두손피카디리빌딩 건물 3층에 위치함. 동인천역 4번 출구에서 40번, 506번 버스이용하여 배다리 삼거리 하차하면 됨.","가능(옥외,지하1,2층)",-,-,-,-,-,36명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,2명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
성언의집재가노인지원서비스센터,재가노인복지시설 방문요양,인천광역시 동구 화도진로79번길 10인천광역시 동구 요양기관 ,032-772-1664,http://www.suhouse.co.kr,2008년 06월 11일,"전    철 : 동인천역 4번 출구에서 나와 화평동 냉면골목 방향으로 도보 5분 거리임 - 시내버스 : 16, 21, 41번은 화평동 냉면거리, 6-1번은 동인천역에서 내리면 됨. - 자가운전 : 동인천역에서 화평동 냉면골목으로 진행한 뒤 동구선거관리위원회 방면으로 좌회전하여 100m 쯤 진행하면 나오는 공영주차장 표지판",20면의 공영주차장이 있음.,-,-,-,-,-,35명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,4명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
미추홀노인복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕,인천광역시 동구 솔빛로 21인천광역시 동구 요양기관 ,032-777-8868,-,2013년 05월 01일,동인천역북광장-송현시장-노인복지센터-송현그린공원-수도국산달동네박물관,주차시설편리함,-,-,-,-,-,0명,0명,0명,22명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,0명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
가봄노인재가복지센터,재가노인복지시설 방문요양 / 재가노인복지시설 방문목욕,인천광역시 동구 화평로22번길 14인천광역시 동구 요양기관 ,032-772-5022,http://gabom,,"동인천역 4번 출구에서 410m 위치에 있으며, 화평동 냉면거리 방면 무료공영 주차장 맞은편에 있습니다.",,-,-,-,-,-,33명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,2명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
실로암재가노인복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문간호,인천광역시 동구 연송로 10인천광역시 동구 요양기관 ,032-584-8253,https://shc,,인천광역시 동구 연송로 10(송림동) 송림고가교 버스정류장,,-,-,-,-,-,0명,0명,0명,30명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,2명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
한마음재가노인복지센터,재가장기요양기관 방문요양,인천광역시 동구 인중로 653인천광역시 동구 요양기관 ,032-777-3030,-,2019년 12월 09일,"인천 동구 송현동 송현주공 아파트 정문 앞  버스 정류장 9번, 21번, 22번, 24번,  112번, 26번, 후문 22번, 24번 이용하여 108동 301호로 오세요.","본 아파트 108동 건물 앞, 주변 주차장 이용 가능",-,-,-,-,-,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,2명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
로사케어재가복지센터,재가노인복지시설 방문요양 / 재가노인복지시설 방문목욕,인천광역시 동구 솔빛로 88-5인천광역시 동구 요양기관 ,032-762-5050,http://blog.naver.com/gee1525,2022년 10월 26일,"2번, 7번, 12번,16번, 62번, 72번, 82번, 506번, 306번, 307번 버스  -  삼익아파트, 달동네 박물관 하차 - 제삼교회 앞 위치",승용차 1대 정도,-,-,-,-,-,22명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,1명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
금곡노인요양원,노인요양시설(개정법),인천광역시 동구 샛골로141번길 21인천광역시 동구 요양기관 ,032-773-2223,http://www.kgnh.or.kr,2010년 01월 27일,"지하철 : 수도권 1호선 도원역 3번출구 도보 10분 동구청 옆 금곡교회 안. 버스 : 2, 7, 10, 12, 13, 16, 21, 62, 72, 82, 506, 306, 307, 인천e음22 (달동네박물관, 동구청소년수련관, 송림오거리, 삼익아파트 정류장)",15대 가능 (무료),60명,9명,45명,0명,0명,0명,0명,0명,26명,0명,0명,0명,4명,1명,1명,1명,0명,1명,1개,1명,1명,세면장및목욕실:14개세탁장및건조장:1개세면장및목욕실:14개세탁장및건조장:1개,1명,1명,1명,0명,0명,-,4명,1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개,13개
참사랑재가노인복지센터,재가노인복지시설 방문요양,인천광역시 동구 화수로 21인천광역시 동구 요양기관 ,032-772-8988,-,2024년 10월 01일,동인천 북광장역에서 마을 버스 506번 승차~ 동부아파트앞 하차 북광장에서 도보 10분,아파트 주차장 사용,-,-,-,-,-,26명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,2명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
화평노인복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕,인천광역시 동구 화도로 7인천광역시 동구 요양기관 ,032-766-1153,http://blog.naver.com/qdd0226,2018년 12월 20일,"동인천역 북광장에서 2번, 21번 버스를 통해 화도고개 (36028) 정류장에서 하차, 도보 2분","공영주차장 200m 이내, 도보3분",-,-,-,-,-,0명,0명,0명,25명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,1명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
송현노인복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕,인천광역시 동구 인중로 659인천광역시 동구 요양기관 ,032-761-7636,http://cafe.daum.net/sh7636,2015년 05월 18일,자가용 이용시  네비게이션 : 인천시 동구 송현동 6-28 송현노인복지센터2층 찍고 오시면 됩니다.                     (송현주공 아파트 내 공영 주차장 이용가능.)   -버스 이용시 24번: 화평철교-화평동냉명거리-서흥초등학교 하차 112번 : 화평철교-화평동냉명거리-송현주공아파트 하차 22번: 화평철교-화평동냉명거리,송현주공 아파트 내 공영 주차장 이용가능합니다.,-,-,-,-,-,0명,0명,0명,16명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,1명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
동인천요양원,노인요양시설(개정법),인천광역시 동구 송림로 24인천광역시 동구 요양기관 ,032-762-1007,https://dongincheon,,"62, 72, 82번 배다리 삼거리 정거장 하차 * 지하철 : 동인천역 하차 헌책방골목으로 주차정보 방문시 주차 등록하시면 2시간 무료, 상시 15분 무료","주차정보 방문시 주차 등록하시면 2시간 무료, 상시 15분 무료",90명,13명,54명,1명,2명,0명,0명,0명,24명,0명,0명,0명,3명,0명,1명,1명,0명,1명,2개,1명,3명,세면장및목욕실:1개세탁장및건조장:1개세면장및목욕실:1개세탁장및건조장:1개,1명,0명,0명,0명,0명,-,0명,1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개,5개
동산노인복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕,인천광역시 동구 동산로63번길 13인천광역시 동구 요양기관 ,032-765-5002,https://dongsan,,"지하철 : 동인천역 1번출구 → 배다리 삼거리쪽으로 도보 5분거리 버스 : 2, 12, 62, 46번 배다리 삼거리정류장하차 → 도보1분거리 두손 피카디리 건물 (문화사우나) 2층 206호",,-,-,-,-,-,0명,0명,0명,19명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,0명,-,0명,0명,0명,0명,0명,-,0명,0개,0개
아가페요양원,노인요양시설(개정법),인천광역시 동구 송림로 24인천광역시 동구 요양기관 ,032-772-0733,http://cafe.daum.net/ehddlscjsdkrkvp,2023년 09월 01일,"인천 동구 배다리 삼거리에 위치하며 두손피카디리빌딩 건물 3층에 위치함. 동인천역 4번 출구에서 40번, 506번 버스이용하여 배다리 삼거리 하차하면 됨.","가능(지하1,2층) - 주차 등록 무료",32명,9명,22명,0명,0명,0명,0명,0명,16명,0명,0명,0명,2명,1명,0명,0명,0명,0명,2개,0명,3명,세면장및목욕실:1개세탁장및건조장:1개세면장및목욕실:1개세탁장및건조장:1개,1명,0명,1명,0명,1명,-,2명,1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개,2개
행복이음재가노인복지센터,재가노인복지시설 방문요양 / 재가노인복지시설 방문목욕,인천광역시 동구 제물량로 398인천광역시 동구 요양기관 ,032-777-2937,-,2022년 10월 26일,"동인천앞 버스정류장에서는 2번,지선506번, 21번탑승시 인천동구선거관리위원에서 하차 2. 동인천북광장에서는 21번,28번탑승후 인천동구 선거관리위원에서 하차 3. 인천역에서는 26번,탑승시 화수마을금고 정류장하차,2번탑승시에는 만석행정복지센터정류장에서 하차하시면 됩니다",* 상가 뒤 빌라단지 주차 가능합니다.  * 대중교통편 이용이 편합니다.,-,-,-,-,-,16명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,0명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
인천송림재가노인복지센터,재가노인복지시설 방문요양,인천광역시 동구 샛골로184번길 9인천광역시 동구 요양기관 ,032-256-3927,https://blog.naver.com/songnim2024,2024년 03월 01일,<대중교통 이용시> *버스 :  서흥초등학교 정류장에서  도보 5분  (16/21/24)             현대시장 정류장에서  도보 5분  (16/21/24/506/인천e음22),주차장이 혼잡하여 주차가 어렵습니다. 차량이용보다는 대중교통 이용을 권장드립니다.,-,-,-,-,-,0명,15명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,0명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
화수재가 노인복지센터,재가장기요양기관 방문요양 / 재가장기요양기관 방문목욕,인천광역시 동구 화도로 47-1인천광역시 동구 요양기관 ,032-216-1678,-,2019년 07월 09일,"*자가용 이용시 동인천역 북광장에서1 로터리에 117m 직진 화도진 공원 방면으로 좌회전 440m 직진후  화도로 방면으로 우회전 해서 화수1화평행정복지센터 지나 화수재가노인복지센터 2층  * 대중교통이용시 동인천역 북광장에서 도보로262m 걸어서 동인천역 승차 (2번버스를 탄후  2개 정류장 이동 화도진 공원, 호도진","공영주차장, 화수1화평행정복지센터 주차장,  인근 희망슈퍼마켓 앞 공영주차장",-,-,-,-,-,0명,0명,0명,14명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,0명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
행복한효요양원2호점,노인요양시설(개정법),인천광역시 동구 송림로 24인천광역시 동구 요양기관 ,032-764-9998,http://silverhyo.or.kr,2016년 12월 01일,"지하철 : 동인천역 1번출구 → 배다리 삼거리쪽으로 도보 5분거리  버스 : 2, 12, 62, 46번 배다리 삼거리정류장하차 → 도보1분거리  두손 피카디리 건물 (문화사우나) 2층 206호","지하 1층, 지하 2층 50여대 주차가능 , 건물주변 공용주차장 이용가능 .",16명,5명,11명,0명,0명,0명,0명,0명,9명,0명,0명,0명,1명,1명,0명,0명,0명,0명,1개,0명,1명,세면장및목욕실:1개세탁장및건조장:0개세면장및목욕실:1개세탁장및건조장:0개,1명,0명,0명,0명,0명,-,1명,1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개,1개
튼튼재가복지센터,재가노인복지시설 방문요양 / 재가노인복지시설 방문목욕,인천광역시 동구 운교로13번길 6인천광역시 동구 요양기관 ,032-777-3897,http://teunteun.site,2023년 02월 28일,"화도진공원에서 하차 : 버스 2, 28, 21, 10, 307, 인천e음버스, 마을버스 506",화도진공원 공영주차장,-,-,-,-,-,9명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,0명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
동인천노인주야간보호센터,재가노인복지시설 주야간보호,인천광역시 동구 송화로20번길 12인천광역시 동구 요양기관 ,032-765-8866,http://blog.naver.com/stahen,2024년 11월 01일,"전철 1호선 동인천역 (북광장 4번 출구 도보 3분)  간선 7번 화평철교, 화평동 냉면거리 하차 후 도보 180m  간선 2번 화도고개 하차 후 도보 272m 간선 10번, 62번 동인천역 하차 후 도보 372m  간선 21번 송현시장, 수도국산 달동네 박물관 하차 후 도보 344m  센터로 전화 주시면 모시러 마중 나갑니다",자가건물 주차장 및 주변 공영 주차장 이용,46명,13명,29명,0명,0명,8명,0명,0명,0명,0명,0명,0명,1명,0명,0명,0명,1명,1명,1개,1명,2명,세면장및목욕실:1개세탁장및건조장:1개세면장및목욕실:1개세탁장및건조장:1개,1명,0명,0명,0명,0명,-,2명,1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개,4개
동구구립치매전담형주간보호센터,재가노인복지시설 주야간보호 / 주야간보호 내 치매전담(1실),인천광역시 동구 방축로 193인천광역시 동구 요양기관 ,032-575-0019,http://www.donggusilver.or.kr,2022년 01월 27일,"306,307 [자동차매매단지 하차 도보 5분] 510, 동구-1, 동구-2 [인천의료원 하차 도보 3분] 7,12,13,24 [인천의료원 하차 도보 12분] 22,28,72,112 [산업단지 사거리 하차 도보 13분]",자동차 총 56대 [일반 52대/ 장애인 4대],-,-,-,-,-,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,1명,0명,0개,0명,0명,세면장및목욕실:0개세탁장및건조장:0개세면장및목욕실:0개세탁장및건조장:0개,0명,0명,0명,0명,0명,주야간보호내치매전담(1실),0명,1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개,0개
엔젤주간보호센터,재가노인복지시설 주야간보호,인천광역시 동구 금곡로 35인천광역시 동구 요양기관 ,032-772-9998,http://엔젤주간보호센터.kr,2025년 06월 02일,"1호선 동인천역 4번출구 북광장에서 800m 버스 간선2,7,82,62,12,82, 배다리 삼거리 정류장 하차 예공바흐카운티 아파트 상가 202호",정보 없음,53명,5명,19명,10명,19명,4명,0명,0명,0명,0명,0명,0명,1명,0명,0명,0명,1명,0명,1개,0명,2명,세면장및목욕실:1개세탁장및건조장:1개세면장및목욕실:1개세탁장및건조장:1개,1명,0명,0명,0명,0명,-,1명,1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개,1개
미래간호요양원,노인요양공동생활가정,인천광역시 동구 송림로 24인천광역시 동구 요양기관 ,032-574-9998,http://blog.naver.com/lucklee,2018년 07월 02일,"※ 주변 지하철역 : 1호선(도원,동인천)  ※ 주변 버스정류장 배다리삼거리(36-006)   ┎ 간선 : 2, 3-2, 12, 16, 17, 29, 40, 41, 46, 62, 72 ┖ 지선 : 506  2. 배다리삼거리(36-007)  ┎ 간선 : 2, 3-2, 10, 12, 16, 17, 29, 40, 41, 46, 62, 72 ┖ 지선 : 506  3. 인천정보산업고등학교(35-183) - 간선 : 10, 15, 2",두손피카디리 빌딩 지하 주차장 이용^^,9명,0명,10명,0명,0명,0명,0명,0명,3명,0명,0명,0명,1명,1명,0명,0명,0명,0명,2개,0명,0명,세면장및목욕실:1개세탁장및건조장:0개세면장및목욕실:1개세탁장및건조장:0개,1명,0명,0명,0명,0명,-,1명,1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개,1개
미래간호요양원 2호점,노인요양공동생활가정,인천광역시 동구 송림로 24인천광역시 동구 요양기관 ,032-761-7730,http://blog.naver.com/lucklee,2018년 07월 02일,"※ 주변 지하철역 : 1호선(동인천, 도원)  ※ 주변 버스정류장 배다리삼거리(36-006)   ┎ 간선 : 2, 3-2, 12, 16, 17, 29, 40, 41, 46, 62, 72 ┖ 지선 : 506  2. 배다리삼거리(36-007)  ┎ 간선 : 2, 3-2, 10, 12, 16, 17, 29, 40, 41, 46, 62, 72 ┖ 지선 : 506  3. 인천정보산업고등학교(35-183) - 간선 : 10, 15",두손피카디리 빌딩 지하 주차장 이용^^,9명,3명,5명,0명,0명,0명,0명,0명,3명,0명,0명,0명,1명,1명,0명,0명,0명,0명,1개,0명,0명,세면장및목욕실:1개세탁장및건조장:0개세면장및목욕실:1개세탁장및건조장:0개,1명,0명,0명,0명,0명,-,1명,1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개1인실:0개2인실:0개3인실:0개4인실:0개특수침실:0개,1개
청운방문요양센터,재가노인복지시설 방문요양,인천광역시 동구 방축로83번길 23인천광역시 동구 요양기관 ,032-1577-7880,-,2022년 08월 30일,정보 없음,정보 없음,-,-,-,-,-,3명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0명,0개,0명,0명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
성언의집재가노인지원서비스센터,재가장기요양기관 방문목욕,인천광역시 동구 화도진로79번길 10인천광역시 동구 요양기관 ,032-772-1664,http://www.suhouse.co.kr,2008년 07월 18일,"전 철 : 동인천역 4번 출구에서 나와 화평동 냉면골목 방향으로 도보 5분 거리임 - 시내버스 : 16, 21, 41번은 화평동 냉면거리, 6-1번은 동인천역에서 내리면 됨. - 자가운전 : 동인천역에서 화평동 냉면골목으로 진행한 뒤 동구선거관리위원회 방면으로 좌회전하여 100m 쯤 진행하면 나오는 공영주차장 표지판",20면의 공영주차장이 있음.,-,-,-,-,-,0명,0명,0명,2명,0명,0명,0명,0명,0명,0명,0명,1명,0명,0개,0명,0명,-,1명,0명,0명,0명,0명,-,0명,0개,0개
